epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,832.365,0.81571,5.29238,0.9238,0.01174,0.34035,0.02724,0.02547,0.30277,3.49648,0.7993,0.003332,0.003332,0.003332
2,1622.72,0.57508,2.66706,0.88035,0.61185,0.65484,0.68289,0.65521,0.28004,1.28129,0.79455,0.00665876,0.00665876,0.00665876
3,2387.21,0.54731,1.45595,0.871,0.85335,0.8769,0.92046,0.8926,0.25892,0.60492,0.78914,0.00995928,0.00995928,0.00995928
4,3136.79,0.49172,0.98811,0.85526,0.94386,0.94387,0.97296,0.95519,0.20669,0.36235,0.77795,0.00991152,0.00991152,0.00991152
5,3882.39,0.43751,0.78928,0.83938,0.96822,0.96609,0.98371,0.96879,0.19075,0.27925,0.77407,0.00984307,0.00984307,0.00984307
6,4626.69,0.4083,0.69089,0.83176,0.97669,0.97568,0.98736,0.97428,0.18099,0.24105,0.77181,0.00975553,0.00975553,0.00975553
7,5369.84,0.38954,0.63282,0.82651,0.97895,0.97956,0.98864,0.9771,0.17209,0.22144,0.77028,0.00964923,0.00964923,0.00964923
8,6112.35,0.37497,0.59103,0.82229,0.98224,0.98242,0.98973,0.9787,0.16798,0.20627,0.76946,0.00952461,0.00952461,0.00952461
9,6854.39,0.36439,0.56042,0.81966,0.98277,0.98397,0.99001,0.97972,0.16348,0.1955,0.76857,0.00938215,0.00938215,0.00938215
10,7595.5,0.35612,0.53658,0.81671,0.98365,0.9858,0.99036,0.98028,0.16098,0.18915,0.76821,0.00922242,0.00922242,0.00922242
11,8337.12,0.34883,0.51817,0.81538,0.98425,0.98597,0.99059,0.98096,0.15862,0.18502,0.76789,0.00904604,0.00904604,0.00904604
12,9078.18,0.34218,0.50327,0.81348,0.98472,0.98662,0.99076,0.98148,0.15636,0.18273,0.76755,0.00885371,0.00885371,0.00885371
13,9818.86,0.33676,0.48885,0.81201,0.98481,0.98734,0.99089,0.98199,0.15457,0.18173,0.76736,0.0086462,0.0086462,0.0086462
14,10559.3,0.33251,0.47818,0.81108,0.98483,0.98797,0.99098,0.98227,0.15343,0.18183,0.76724,0.00842431,0.00842431,0.00842431
15,11298.9,0.32768,0.46672,0.80977,0.98502,0.98826,0.99103,0.98257,0.15206,0.18258,0.76711,0.00818893,0.00818893,0.00818893
16,12036.4,0.32328,0.459,0.80872,0.98518,0.9885,0.99109,0.98285,0.1508,0.18386,0.76701,0.00794099,0.00794099,0.00794099
17,12773.8,0.31911,0.4516,0.80796,0.98521,0.98876,0.99113,0.98309,0.14969,0.1853,0.76696,0.00768145,0.00768145,0.00768145
18,13511.8,0.31532,0.44507,0.80666,0.98548,0.98871,0.99118,0.98327,0.14878,0.18672,0.76697,0.00741136,0.00741136,0.00741136
19,14249.4,0.31124,0.43644,0.8058,0.98568,0.98872,0.99121,0.98344,0.14808,0.18798,0.76701,0.00713177,0.00713177,0.00713177
20,14988.2,0.30731,0.43014,0.80502,0.98583,0.98914,0.99123,0.98366,0.14699,0.18871,0.76704,0.00684378,0.00684378,0.00684378
21,15726,0.30458,0.42599,0.80442,0.98597,0.98914,0.99126,0.98376,0.14616,0.18935,0.76725,0.00654854,0.00654854,0.00654854
22,16463.7,0.30142,0.42022,0.80343,0.98605,0.98889,0.99123,0.98388,0.14545,0.19135,0.76753,0.00624721,0.00624721,0.00624721
23,17201.7,0.29764,0.41383,0.80284,0.98617,0.98898,0.99124,0.98401,0.14455,0.19147,0.76763,0.00594097,0.00594097,0.00594097
24,17939.2,0.29457,0.40814,0.80258,0.98623,0.98905,0.99127,0.98411,0.14392,0.19154,0.76722,0.00563104,0.00563104,0.00563104
25,18677.2,0.29059,0.4028,0.80138,0.98651,0.98881,0.99133,0.98428,0.14334,0.19154,0.76633,0.00531864,0.00531864,0.00531864
26,19414.7,0.287,0.39631,0.80084,0.98638,0.98893,0.99139,0.9844,0.14273,0.19084,0.76524,0.005005,0.005005,0.005005
