epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,788.896,0.26635,0.36618,0.79517,0.98373,0.98738,0.99133,0.98151,0.16042,0.1752,0.76636,0.003332,0.003332,0.003332
2,1563.73,0.28181,0.38734,0.79832,0.98658,0.98661,0.99141,0.98236,0.15845,0.17112,0.76613,0.00663908,0.00663908,0.00663908
3,2323.89,0.31159,0.42393,0.80564,0.98334,0.98568,0.99095,0.98024,0.16352,0.18229,0.76781,0.00984176,0.00984176,0.00984176
4,3082.66,0.33326,0.4643,0.81224,0.98445,0.98608,0.99092,0.98221,0.15613,0.17185,0.76627,0.00964923,0.00964923,0.00964923
5,3841.53,0.32881,0.45686,0.81184,0.98752,0.98711,0.99124,0.98255,0.15251,0.16167,0.76568,0.00938215,0.00938215,0.00938215
6,4600.42,0.32342,0.45016,0.81014,0.98719,0.99,0.99167,0.98335,0.15015,0.15429,0.76504,0.00904604,0.00904604,0.00904604
7,5358.96,0.31821,0.43922,0.80908,0.98713,0.99098,0.99154,0.98336,0.14777,0.15027,0.76459,0.0086462,0.0086462,0.0086462
8,6117.42,0.31265,0.43257,0.80742,0.98806,0.9914,0.99185,0.98385,0.14572,0.14602,0.7641,0.00818893,0.00818893,0.00818893
9,6876.2,0.30729,0.42448,0.80614,0.98822,0.99167,0.99176,0.98391,0.14528,0.14328,0.76405,0.00768145,0.00768145,0.00768145
10,7634.62,0.30094,0.41477,0.8044,0.98824,0.9917,0.99182,0.98408,0.14396,0.14268,0.76371,0.00713177,0.00713177,0.00713177
11,8392.95,0.29529,0.40599,0.80294,0.98834,0.99225,0.99183,0.98425,0.14266,0.14015,0.76347,0.00654854,0.00654854,0.00654854
12,9151.43,0.28812,0.39554,0.8013,0.98822,0.99232,0.99182,0.98434,0.14193,0.13899,0.76333,0.00594097,0.00594097,0.00594097
13,9910.43,0.28291,0.38741,0.79986,0.9886,0.99231,0.99186,0.98435,0.1414,0.13786,0.7632,0.00531864,0.00531864,0.00531864
14,10668.7,0.27707,0.37925,0.79869,0.98863,0.99251,0.99191,0.98436,0.14131,0.13714,0.76313,0.00469136,0.00469136,0.00469136
15,11426.8,0.27079,0.36908,0.79673,0.98857,0.99258,0.99196,0.98442,0.14106,0.13626,0.76305,0.00406903,0.00406903,0.00406903
16,12176.5,0.24707,0.28385,0.78887,0.98857,0.9928,0.99199,0.98464,0.14012,0.13484,0.76289,0.00346146,0.00346146,0.00346146
17,12919.8,0.2401,0.2728,0.78674,0.98859,0.99294,0.99202,0.98489,0.13879,0.13329,0.76268,0.00287823,0.00287823,0.00287823
18,13662,0.23178,0.26129,0.78463,0.98863,0.99331,0.99206,0.98505,0.13793,0.13187,0.76252,0.00232855,0.00232855,0.00232855
19,14403.9,0.22551,0.25133,0.78286,0.98877,0.99352,0.99209,0.9852,0.13696,0.13073,0.76236,0.00182107,0.00182107,0.00182107
20,15146.1,0.21986,0.24154,0.78127,0.98884,0.9936,0.9921,0.98531,0.13621,0.12981,0.76224,0.0013638,0.0013638,0.0013638
21,15888.5,0.21333,0.23247,0.7803,0.98905,0.99362,0.99213,0.98541,0.13562,0.12896,0.76212,0.00096396,0.00096396,0.00096396
22,16630,0.20907,0.2255,0.77921,0.98916,0.99366,0.99216,0.98559,0.13494,0.12818,0.76199,0.000627848,0.000627848,0.000627848
23,17371.4,0.20472,0.21865,0.77789,0.98937,0.99379,0.9922,0.98559,0.13469,0.12757,0.76189,0.000360766,0.000360766,0.000360766
24,18112.6,0.20169,0.21415,0.77704,0.98957,0.99383,0.99222,0.98568,0.13434,0.12711,0.7618,0.000166927,0.000166927,0.000166927
