epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.511,0.39901,2.92776,0.82478,0.71984,0.74865,0.82053,0.76633,0.35268,1.03393,0.80224,0.0670132,0.0003332,0.0003332
2,1500.79,0.27932,0.76157,0.79643,0.94893,0.94467,0.97917,0.9374,0.2738,0.3983,0.78842,0.034013,0.000666371,0.000666371
3,2200.14,0.25031,0.57455,0.79088,0.97606,0.97463,0.98909,0.9698,0.20979,0.26503,0.7766,0.00101222,0.00099889,0.00099889
4,2891.2,0.24021,0.51327,0.78893,0.98307,0.98365,0.99115,0.98019,0.15739,0.20304,0.77018,0.000997803,0.000997803,0.000997803
5,3580.04,0.22853,0.46513,0.78684,0.98687,0.9889,0.99217,0.98321,0.14594,0.17193,0.76877,0.000996097,0.000996097,0.000996097
6,4267.16,0.22167,0.43659,0.78591,0.9884,0.99135,0.9924,0.98413,0.13915,0.15389,0.76787,0.000993906,0.000993906,0.000993906
7,4953.37,0.21251,0.41154,0.78404,0.98968,0.99274,0.99277,0.98511,0.13498,0.14491,0.7673,0.000991232,0.000991232,0.000991232
8,5639.29,0.20339,0.39243,0.78266,0.99012,0.99333,0.99296,0.98592,0.13047,0.13637,0.76686,0.000988079,0.000988079,0.000988079
9,6325.34,0.20274,0.38273,0.78276,0.99083,0.99367,0.99309,0.98605,0.13018,0.13229,0.76668,0.000984449,0.000984449,0.000984449
10,7010.37,0.19495,0.368,0.78158,0.99086,0.9946,0.99319,0.9865,0.12783,0.12849,0.76661,0.000980345,0.000980345,0.000980345
11,7695.71,0.19133,0.35704,0.78102,0.991,0.99499,0.99328,0.98692,0.12597,0.12583,0.76645,0.000975773,0.000975773,0.000975773
12,8380.51,0.18794,0.34893,0.78035,0.99132,0.99512,0.99333,0.98707,0.12522,0.12379,0.7664,0.000970736,0.000970736,0.000970736
13,9065.35,0.18765,0.3434,0.78019,0.99158,0.99527,0.99337,0.98731,0.12437,0.12224,0.76636,0.000965239,0.000965239,0.000965239
14,9750.89,0.1836,0.33733,0.77984,0.99182,0.99535,0.99341,0.98754,0.12339,0.12087,0.76631,0.000959289,0.000959289,0.000959289
15,10436,0.18255,0.33287,0.77944,0.99209,0.99548,0.99344,0.98763,0.12309,0.12012,0.76634,0.000952889,0.000952889,0.000952889
16,11120.6,0.17963,0.32556,0.77919,0.99242,0.99549,0.99346,0.98772,0.12302,0.11952,0.76635,0.000946048,0.000946048,0.000946048
17,11805.2,0.17753,0.32313,0.77873,0.99259,0.99562,0.99348,0.98787,0.1223,0.11894,0.76634,0.000938772,0.000938772,0.000938772
18,12490.4,0.17729,0.31714,0.77882,0.99268,0.99573,0.9935,0.98801,0.12202,0.1187,0.76635,0.000931067,0.000931067,0.000931067
19,13175.5,0.17643,0.31648,0.77852,0.99273,0.99583,0.99352,0.9881,0.1219,0.11884,0.76638,0.000922942,0.000922942,0.000922942
20,13860.2,0.17667,0.31468,0.7786,0.99281,0.99581,0.99354,0.98816,0.12196,0.11907,0.76644,0.000914405,0.000914405,0.000914405
21,14545.2,0.17313,0.30882,0.77808,0.99279,0.99587,0.99355,0.98826,0.12191,0.1193,0.76646,0.000905463,0.000905463,0.000905463
22,15229.6,0.17098,0.30585,0.77769,0.99282,0.99602,0.99357,0.9883,0.12176,0.11948,0.76648,0.000896127,0.000896127,0.000896127
23,15913.9,0.16866,0.30086,0.77734,0.99299,0.99589,0.99357,0.98833,0.1222,0.11992,0.76652,0.000886404,0.000886404,0.000886404
24,16598.6,0.17013,0.30054,0.77764,0.99313,0.99589,0.99359,0.98844,0.12204,0.12004,0.7665,0.000876305,0.000876305,0.000876305
25,17283.6,0.16769,0.29746,0.77738,0.99316,0.99588,0.99359,0.98849,0.12237,0.12006,0.76651,0.000865839,0.000865839,0.000865839
26,17968,0.16565,0.29488,0.7769,0.99333,0.9959,0.99359,0.98863,0.12205,0.11965,0.76646,0.000855018,0.000855018,0.000855018
27,18653.1,0.16594,0.29254,0.77716,0.9933,0.99599,0.99361,0.98873,0.1219,0.11926,0.76639,0.000843851,0.000843851,0.000843851
28,19337.5,0.16643,0.29308,0.77712,0.99319,0.99614,0.99361,0.9888,0.12142,0.11874,0.76631,0.000832349,0.000832349,0.000832349
29,20022.1,0.16274,0.28722,0.77657,0.99324,0.99616,0.99361,0.98892,0.12082,0.118,0.76625,0.000820525,0.000820525,0.000820525
30,20706.9,0.16336,0.28611,0.7766,0.99315,0.99631,0.99363,0.98897,0.12046,0.11692,0.76619,0.000808389,0.000808389,0.000808389
31,21390.8,0.16321,0.28565,0.77666,0.99319,0.99637,0.99364,0.98893,0.12044,0.11585,0.76611,0.000795954,0.000795954,0.000795954
32,22075.6,0.16098,0.28341,0.77645,0.99329,0.99643,0.99366,0.98903,0.12009,0.11474,0.76602,0.000783231,0.000783231,0.000783231
33,22759.8,0.16094,0.28072,0.77601,0.99331,0.99648,0.99368,0.98913,0.11913,0.11321,0.76589,0.000770234,0.000770234,0.000770234
