epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79655,1.71317,4.17698,1.25885,0.02677,0.787,0.09691,0.0545,1.16648,3.9872,0.89826,0.00017136,0.00017136,0.00017136
2,7.32081,1.08902,3.16549,0.95631,0.03421,0.9995,0.27536,0.19917,0.86132,3.18382,0.84076,0.000342933,0.000342933,0.000342933
3,11.1317,0.92199,2.35377,0.9317,0.57951,0.44233,0.58374,0.44771,0.78227,2.20442,0.86907,0.000507437,0.000507437,0.000507437
4,14.6229,0.8747,1.79914,0.91444,0.76447,0.80215,0.88067,0.70064,0.7398,1.57007,0.86288,0.000664873,0.000664873,0.000664873
5,18.7637,0.84421,1.49302,0.91192,0.90064,0.88187,0.9585,0.78158,0.74504,1.2123,0.87852,0.000657451,0.000657451,0.000657451
6,22.2803,0.77078,1.26338,0.89634,0.93418,0.93742,0.99142,0.86417,0.56991,0.83162,0.81735,0.000643314,0.000643314,0.000643314
7,25.8059,0.72196,1.09695,0.89123,0.98409,0.9811,0.9949,0.87536,0.54825,0.67544,0.79432,0.000629177,0.000629177,0.000629177
8,29.3954,0.65904,0.93471,0.8676,0.98501,0.99334,0.99499,0.88809,0.49822,0.61999,0.78216,0.00061504,0.00061504,0.00061504
9,32.9849,0.63357,0.84643,0.8671,0.97793,0.9876,0.99495,0.88713,0.50357,0.5993,0.78437,0.000600902,0.000600902,0.000600902
10,36.6266,0.62403,0.79423,0.85181,0.99701,0.99902,0.995,0.89742,0.47565,0.52509,0.77931,0.000586765,0.000586765,0.000586765
11,40.3421,0.58664,0.75319,0.85294,0.99779,0.99939,0.995,0.9031,0.45279,0.50047,0.77187,0.000572628,0.000572628,0.000572628
12,43.9051,0.54867,0.71082,0.83952,0.9982,0.99924,0.995,0.91723,0.41393,0.48074,0.76904,0.000558491,0.000558491,0.000558491
13,47.493,0.54059,0.67031,0.84036,0.99705,0.99947,0.995,0.9277,0.38818,0.4512,0.76257,0.000544354,0.000544354,0.000544354
14,51.1547,0.51914,0.64749,0.84026,0.99889,0.99939,0.995,0.92911,0.37977,0.43901,0.76446,0.000530216,0.000530216,0.000530216
15,54.684,0.49229,0.60956,0.83225,0.99806,0.99951,0.995,0.93166,0.37168,0.45695,0.76153,0.000516079,0.000516079,0.000516079
16,58.3847,0.51436,0.63231,0.83394,0.99846,0.99972,0.995,0.92415,0.38684,0.42094,0.76494,0.000501942,0.000501942,0.000501942
17,61.9358,0.4847,0.58815,0.82516,0.99911,1,0.995,0.93949,0.35337,0.3958,0.76023,0.000487805,0.000487805,0.000487805
18,65.517,0.48059,0.57623,0.81994,0.99838,1,0.995,0.94196,0.34707,0.40354,0.75881,0.000473668,0.000473668,0.000473668
19,69.1657,0.453,0.54566,0.81779,0.99905,0.99997,0.995,0.94254,0.34332,0.37536,0.75658,0.00045953,0.00045953,0.00045953
20,72.6505,0.43936,0.53646,0.82211,0.99921,0.99974,0.995,0.94413,0.3363,0.37447,0.7544,0.000445393,0.000445393,0.000445393
21,76.5904,0.44641,0.54502,0.82145,0.99942,0.99993,0.995,0.95597,0.31349,0.36015,0.75284,0.000431256,0.000431256,0.000431256
22,80.1235,0.43391,0.5384,0.82242,0.99904,1,0.995,0.95517,0.3128,0.36616,0.75133,0.000417119,0.000417119,0.000417119
23,83.6661,0.4095,0.50436,0.81729,0.99893,1,0.995,0.95321,0.31277,0.34632,0.75216,0.000402982,0.000402982,0.000402982
24,87.1082,0.41738,0.50622,0.81449,0.99937,0.99996,0.995,0.96095,0.2942,0.35966,0.74881,0.000388844,0.000388844,0.000388844
25,90.7185,0.41803,0.51208,0.81477,0.99935,0.99962,0.995,0.95719,0.30215,0.34256,0.75224,0.000374707,0.000374707,0.000374707
26,94.2058,0.41112,0.49799,0.8119,0.99913,1,0.995,0.96241,0.29344,0.34513,0.75,0.00036057,0.00036057,0.00036057
27,97.8113,0.41402,0.50152,0.81468,0.99941,0.99969,0.995,0.96026,0.29222,0.3312,0.74974,0.000346433,0.000346433,0.000346433
28,101.365,0.39675,0.47868,0.81101,0.99939,1,0.995,0.96112,0.29675,0.32855,0.75016,0.000332296,0.000332296,0.000332296
29,104.948,0.41095,0.48742,0.81187,0.99947,1,0.995,0.96215,0.28605,0.32487,0.74931,0.000318158,0.000318158,0.000318158
30,108.526,0.40155,0.48192,0.81266,0.99944,1,0.995,0.96852,0.27188,0.31777,0.7481,0.000304021,0.000304021,0.000304021
31,112.076,0.38046,0.46457,0.80768,0.99949,1,0.995,0.9691,0.27472,0.31053,0.7474,0.000289884,0.000289884,0.000289884
32,115.632,0.39429,0.46076,0.80909,0.99947,1,0.995,0.9636,0.28435,0.31822,0.74707,0.000275747,0.000275747,0.000275747
33,119.096,0.38036,0.4601,0.81224,0.9994,1,0.995,0.96957,0.26529,0.3189,0.74602,0.00026161,0.00026161,0.00026161
34,122.702,0.3706,0.45261,0.80703,0.99958,1,0.995,0.97038,0.26577,0.30834,0.74605,0.000247472,0.000247472,0.000247472
35,126.246,0.38341,0.46169,0.81046,0.99911,1,0.995,0.96604,0.27649,0.31614,0.74603,0.000233335,0.000233335,0.000233335
36,130.031,0.36897,0.44329,0.80173,0.9995,1,0.995,0.9716,0.26449,0.30156,0.74585,0.000219198,0.000219198,0.000219198
37,133.647,0.36471,0.43488,0.80673,0.99947,1,0.995,0.9756,0.25302,0.29893,0.74558,0.000205061,0.000205061,0.000205061
38,137.209,0.35868,0.43428,0.8083,0.99945,1,0.995,0.97496,0.25541,0.29538,0.74503,0.000190924,0.000190924,0.000190924
39,140.647,0.34815,0.42402,0.80367,0.99959,1,0.995,0.97689,0.24493,0.29276,0.74467,0.000176786,0.000176786,0.000176786
40,144.374,0.35541,0.44724,0.8054,0.9995,1,0.995,0.97761,0.25106,0.29049,0.74537,0.000162649,0.000162649,0.000162649
41,148.681,0.34323,0.4663,0.79526,0.9991,1,0.995,0.9689,0.27059,0.3253,0.74474,0.000148512,0.000148512,0.000148512
42,152.25,0.34008,0.45468,0.78604,0.99946,1,0.995,0.97324,0.25877,0.30041,0.74345,0.000134375,0.000134375,0.000134375
43,155.812,0.33118,0.42848,0.79439,0.99933,1,0.995,0.96831,0.26544,0.31632,0.74442,0.000120238,0.000120238,0.000120238
44,159.45,0.3178,0.43462,0.7943,0.99953,0.99981,0.995,0.97313,0.25422,0.29235,0.74314,0.0001061,0.0001061,0.0001061
45,162.914,0.31443,0.41478,0.78804,0.99952,1,0.995,0.97351,0.25742,0.28795,0.74292,9.19632e-05,9.19632e-05,9.19632e-05
46,166.43,0.30481,0.41022,0.78799,0.99948,1,0.995,0.97586,0.24802,0.28934,0.74275,7.7826e-05,7.7826e-05,7.7826e-05
47,169.927,0.2968,0.39923,0.78296,0.99955,1,0.995,0.97587,0.24832,0.28012,0.74287,6.36888e-05,6.36888e-05,6.36888e-05
48,173.451,0.28973,0.38844,0.78964,0.99958,1,0.995,0.97777,0.2431,0.27976,0.74196,4.95516e-05,4.95516e-05,4.95516e-05
49,176.938,0.29664,0.40071,0.78203,0.99956,1,0.995,0.97817,0.24064,0.28069,0.74162,3.54144e-05,3.54144e-05,3.54144e-05
50,180.405,0.28744,0.38813,0.78872,0.99958,1,0.995,0.97866,0.24177,0.27873,0.74196,2.12772e-05,2.12772e-05,2.12772e-05
