epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3535,1.31903,4.07783,1.08455,0.0314,0.9125,0.15714,0.13218,0.45004,3.8919,0.75908,0.00017136,0.00017136,0.00017136
2,84.5948,0.64092,3.04389,0.84496,0.03408,0.9995,0.39196,0.31392,0.55672,3.22369,0.77813,0.000342933,0.000342933,0.000342933
3,125.575,0.59112,2.32958,0.83009,0.823,0.49876,0.74174,0.6178,0.47197,2.24461,0.7809,0.000507437,0.000507437,0.000507437
4,166.638,0.55953,1.78074,0.82645,0.76692,0.83832,0.85829,0.776,0.40993,1.42775,0.79051,0.000664873,0.000664873,0.000664873
5,208.114,0.49547,1.4403,0.81348,0.83332,0.86711,0.93658,0.8618,0.41158,1.24011,0.80007,0.000657451,0.000657451,0.000657451
6,248.67,0.44928,1.26189,0.81934,0.93448,0.96148,0.95798,0.90605,0.33234,0.88381,0.77301,0.000643314,0.000643314,0.000643314
7,289.566,0.39039,1.04187,0.80274,0.97863,0.99083,0.9896,0.95836,0.28315,0.62979,0.76614,0.000629177,0.000629177,0.000629177
8,330.65,0.36286,0.84265,0.80447,0.98819,0.99868,0.99312,0.96426,0.30651,0.55806,0.76288,0.00061504,0.00061504,0.00061504
9,371.814,0.34645,0.73527,0.798,0.99894,1,0.995,0.9855,0.26176,0.49455,0.7596,0.000600902,0.000600902,0.000600902
10,412.504,0.3171,0.67116,0.79544,0.99863,1,0.995,0.99119,0.21695,0.43891,0.75479,0.000586765,0.000586765,0.000586765
11,453.468,0.30268,0.61161,0.79456,0.99816,0.99903,0.995,0.99216,0.22127,0.43067,0.75937,0.000572628,0.000572628,0.000572628
12,494.283,0.30737,0.56571,0.78805,0.99786,1,0.995,0.99076,0.20895,0.38988,0.75487,0.000558491,0.000558491,0.000558491
13,535.121,0.28331,0.5348,0.79206,0.99906,1,0.995,0.98923,0.22993,0.41852,0.75509,0.000544354,0.000544354,0.000544354
14,575.447,0.2743,0.51087,0.78211,0.9991,1,0.995,0.99184,0.22717,0.38218,0.7583,0.000530216,0.000530216,0.000530216
15,616.046,0.25967,0.48281,0.7898,0.99896,1,0.995,0.99305,0.19336,0.347,0.75456,0.000516079,0.000516079,0.000516079
16,656.852,0.24575,0.48938,0.78677,0.99943,1,0.995,0.995,0.18208,0.35329,0.75467,0.000501942,0.000501942,0.000501942
17,697.361,0.24652,0.45973,0.78436,0.99922,1,0.995,0.995,0.17453,0.32005,0.75756,0.000487805,0.000487805,0.000487805
18,737.819,0.23582,0.46419,0.7881,0.99879,1,0.995,0.99499,0.15747,0.33017,0.75208,0.000473668,0.000473668,0.000473668
19,778.456,0.23025,0.43995,0.78458,0.99956,1,0.995,0.9949,0.18369,0.318,0.75589,0.00045953,0.00045953,0.00045953
20,818.664,0.23792,0.45753,0.7874,0.99953,1,0.995,0.99499,0.1669,0.31493,0.75414,0.000445393,0.000445393,0.000445393
21,859.772,0.21461,0.42328,0.78445,0.99946,1,0.995,0.995,0.20059,0.34755,0.75617,0.000431256,0.000431256,0.000431256
22,900.055,0.20531,0.41676,0.78671,0.99959,1,0.995,0.995,0.13494,0.29407,0.75349,0.000417119,0.000417119,0.000417119
23,940.537,0.21132,0.4111,0.78707,0.99957,1,0.995,0.995,0.13794,0.31217,0.75262,0.000402982,0.000402982,0.000402982
24,981.254,0.21435,0.40699,0.78588,0.9994,1,0.995,0.99411,0.169,0.30529,0.75654,0.000388844,0.000388844,0.000388844
25,1021.98,0.19851,0.39123,0.78203,0.99946,1,0.995,0.995,0.13683,0.28487,0.75424,0.000374707,0.000374707,0.000374707
26,1062.82,0.19292,0.39331,0.78275,0.99954,1,0.995,0.995,0.15536,0.29278,0.75446,0.00036057,0.00036057,0.00036057
